epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4795.01,1.3608,0.97778,1.00574,0.92786,0.81207,0.88916,0.61267,0.94649,0.73123,0.77983,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4941.63,1.33813,0.95815,1.01118,0.93075,0.81335,0.88931,0.61611,0.92667,0.7078,0.78049,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5087.5,1.31849,0.93402,1.00111,0.94631,0.82981,0.9018,0.62369,0.88465,0.65046,0.76992,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5233.77,1.31281,0.92676,1.00326,0.94672,0.8402,0.90806,0.64157,0.86196,0.64731,0.76111,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5379.7,1.29253,0.92092,0.99982,0.92985,0.84338,0.90359,0.64524,0.86868,0.65654,0.76311,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5526.28,1.26595,0.89143,0.98371,0.94468,0.83903,0.90976,0.66185,0.83256,0.61842,0.75535,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5672.26,1.2591,0.87628,0.98212,0.94511,0.86547,0.91709,0.67162,0.84489,0.6401,0.75676,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5818.63,1.28541,0.89852,0.98765,0.94485,0.86105,0.91293,0.66082,0.81996,0.61181,0.75251,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,5965.16,1.21753,0.83765,0.9693,0.96823,0.86523,0.92118,0.68311,0.80316,0.60594,0.74847,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6111.22,1.22504,0.87126,0.96895,0.97243,0.8644,0.92446,0.67714,0.82335,0.59848,0.74964,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6257.59,1.20889,0.83127,0.96467,0.96878,0.8657,0.92634,0.68676,0.77588,0.60746,0.73896,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6404.42,1.20139,0.82884,0.96085,0.96546,0.85797,0.92844,0.69538,0.78312,0.5811,0.74061,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,6550.73,1.17471,0.79693,0.96082,0.96572,0.86918,0.93026,0.70733,0.76244,0.57073,0.73901,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,6696.67,1.18153,0.82465,0.95813,0.96572,0.88089,0.93544,0.70747,0.7436,0.56962,0.73154,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,6842.78,1.18653,0.81204,0.96118,0.97187,0.87752,0.93351,0.71065,0.74239,0.56064,0.73076,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,6989.14,1.14656,0.78078,0.93974,0.97494,0.8768,0.93616,0.72467,0.73475,0.54905,0.72642,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
